,mid,gid
519,250638,14
520,252505,14
521,252864,14
522,253400,14
523,254672,14
524,255779,14
525,257501,14
526,257648,14
527,257881,14
528,271617,14
529,276090,14
530,282156,14
531,299822,14
532,299824,14
533,303538,14
534,311082,14
535,311324,14
536,319195,14
537,332393,14
538,334298,14
539,337422,14
540,341405,14
541,344645,14
542,345801,14
543,360423,14
544,363209,14
545,372836,14
546,377007,14
547,381890,14
548,381902,14
549,387749,14
550,389201,14
551,389495,14
552,395575,14
553,402063,14
554,403148,14
555,403781,14
556,403866,14
557,403934,14
558,406429,14
559,407526,14
560,411214,14
561,420635,14
562,423154,14
563,433845,14
564,434221,14
565,435800,14
566,437543,14
567,437897,14
568,447242,14
569,447729,14
570,447731,14
571,447753,14
572,453660,14
573,454016,14
574,458461,14
575,462773,14
576,466438,14
577,466924,14
578,474125,14
579,478954,14
580,481340,14
581,481394,14
582,482257,14
583,482377,14
584,482408,14
585,483285,14
586,483469,14
587,484997,14
588,485449,14
589,488932,14
590,493642,14
591,1273,16
592,9502,16
593,10674,16
594,22809,16
595,23698,16
596,44424,16
597,45479,16
598,46711,16
599,49444,16
600,50393,16
601,73884,16
602,80779,16
603,82061,16
604,85508,16
605,95728,16
606,116265,16
607,137386,16
608,140300,16
609,145954,16
610,271617,16
611,274862,16
612,307466,16
613,313616,16
614,335777,16
615,387592,16
616,403114,16
617,407636,16
618,417321,16
619,422531,16
620,431591,16
621,489356,16
622,13,18
623,79,18
624,146,18
625,746,18
626,843,18
627,844,18
628,1248,18
629,1436,18
630,1439,18
631,1494,18
632,1904,18
633,2008,18
634,2111,18
635,2314,18
636,2463,18
637,4588,18
638,6972,18
639,7549,18
640,8341,18
641,8435,18
642,8943,18
643,9050,18
644,9404,18
645,9550,18
646,9581,18
647,9594,18
648,10109,18
649,10265,18
650,10387,18
651,10404,18
652,10451,18
653,10617,18
654,10623,18
655,10703,18
656,10775,18
657,10835,18
658,10855,18
659,10995,18
660,10997,18
661,11018,18
662,11104,18
663,11143,18
664,11220,18
665,11332,18
666,11471,18
667,11492,18
668,11553,18
669,11554,18
670,11636,18
671,11647,18
672,11653,18
673,11702,18
674,11713,18
675,11909,18
676,11960,18
677,12276,18
678,12289,18
679,12543,18
680,12572,18
681,12780,18
682,13127,18
683,13361,18
684,13405,18
685,13514,18
686,13688,18
687,14202,18
688,14283,18
689,14310,18
690,14392,18
691,14449,18
692,14538,18
693,14596,18
694,14735,18
695,14756,18
696,14797,18
697,14808,18
698,15077,18
699,15384,18
700,15804,18
701,15923,18
702,16269,18
703,16411,18
704,16657,18
705,16687,18
706,17422,18
707,17808,18
708,18031,18
709,18232,18
710,18311,18
711,18329,18
712,18385,18
713,18426,18
714,18476,18
715,18666,18
716,18667,18
717,18674,18
718,18704,18
719,18747,18
720,18758,18
721,18763,18
722,18767,18
723,18817,18
724,18822,18
725,18857,18
726,18877,18
727,19935,18
728,20002,18
729,20083,18
730,20342,18
731,21345,18
732,21537,18
733,23019,18
734,23676,18
735,23698,18
736,23981,18
737,24163,18
738,24444,18
739,24546,18
740,24889,18
741,24986,18
742,25074,18
743,25187,18
744,25355,18
745,25423,18
746,25474,18
747,25536,18
748,25538,18
749,25626,18
750,25654,18
751,25661,18
752,25664,18
753,25676,18
754,25838,18
755,26136,18
756,26150,18
757,26422,18
758,26615,18
759,26784,18
760,27060,18
761,27062,18
762,28039,18
763,28772,18
764,29014,18
765,29346,18
766,29363,18
767,29459,18
768,29584,18
769,29594,18
770,29972,18
771,30112,18
772,30265,18
773,30596,18
774,30600,18
775,31185,18
776,31439,18
777,31614,18
778,31642,18
779,31680,18
780,32162,18
781,32233,18
782,32516,18
783,32520,18
784,32582,18
785,32629,18
786,32909,18
787,33840,18
788,34179,18
789,34182,18
790,34216,18
791,34526,18
792,34561,18
793,34800,18
794,35170,18
795,35800,18
796,36113,18
797,36244,18
798,36261,18
799,36266,18
800,36348,18
801,36931,18
802,37185,18
803,37263,18
804,37304,18
805,37472,18
806,37486,18
807,37528,18
808,37557,18
809,37703,18
810,37711,18
811,37849,18
812,38025,18
813,38030,18
814,38037,18
815,38057,18
816,38143,18
817,38155,18
818,38181,18
819,38407,18
820,38575,18
821,39390,18
822,39560,18
823,39693,18
824,39850,18
825,39851,18
826,39857,18
827,40006,18
828,40029,18
829,40081,18
830,40105,18
831,40118,18
832,40751,18
833,40832,18
834,40889,18
835,40896,18
836,40974,18
837,40977,18
838,41158,18
839,41161,18
840,41196,18
841,41383,18
842,41400,18
843,41544,18
844,41783,18
845,41819,18
846,41821,18
847,41993,18
848,42006,18
849,42324,18
850,42340,18
851,42842,18
852,42845,18
853,42855,18
854,43152,18
855,43279,18
856,43672,18
857,44133,18
858,44145,18
859,44162,18
860,44217,18
861,44249,18
862,44322,18
863,44458,18
864,44554,18
865,44555,18
866,44558,18
867,44560,18
868,44619,18
869,44673,18
870,44676,18
871,44677,18
872,44742,18
873,44748,18
874,44774,18
875,44837,18
876,44865,18
877,45197,18
878,45217,18
879,45385,18
880,45399,18
881,45408,18
882,45411,18
883,45418,18
884,45437,18
885,45449,18
886,45457,18
887,45459,18
888,45460,18
889,45463,18
890,45464,18
891,45470,18
892,45471,18
893,45473,18
894,45477,18
895,45478,18
896,45484,18
897,45488,18
898,45490,18
899,45491,18
900,45497,18
901,45502,18
902,45505,18
903,45507,18
904,45646,18
905,45859,18
906,45871,18
907,45935,18
908,45999,18
909,46124,18
910,46791,18
911,46871,18
912,46962,18
913,47293,18
914,47428,18
915,47648,18
916,47694,18
917,47854,18
918,48417,18
919,48492,18
920,48773,18
921,48791,18
922,48963,18
923,49260,18
924,49288,18
925,49291,18
926,49516,18
927,49677,18
928,49982,18
929,50146,18
930,50256,18
931,50260,18
932,50319,18
933,50650,18
934,50936,18
935,51245,18
936,51484,18
937,51747,18
938,51885,18
939,52463,18
940,52730,18
941,52768,18
942,52970,18
943,52972,18
944,53168,18
945,53275,18
946,53720,18
947,53807,18
948,53839,18
949,53978,18
950,54328,18
951,54421,18
952,54529,18
953,55042,18
954,55292,18
955,55741,18
956,56031,18
957,56277,18
958,56329,18
959,57624,18
960,57661,18
961,57822,18
962,58570,18
963,58882,18
964,58954,18
965,59292,18
966,59444,18
967,60145,18
968,60415,18
969,60568,18
970,60624,18
971,60788,18
972,60898,18
973,61039,18
974,61040,18
975,61268,18
976,61468,18
977,61477,18
978,61619,18
979,61676,18
980,62456,18
981,62651,18
982,62845,18
983,62976,18
984,62977,18
985,63064,18
986,63416,18
987,63446,18
988,63458,18
989,64015,18
990,64307,18
991,64315,18
992,64316,18
993,64363,18
994,64364,18
995,64885,18
996,64987,18
997,64990,18
998,65133,18
999,65193,18
1000,65207,18
1001,65321,18
1002,65415,18
1003,65417,18
1004,65652,18
1005,66016,18
1006,66167,18
1007,66171,18
1008,66210,18
1009,66723,18
1010,67245,18
1011,67308,18
1012,68004,18
1013,68422,18
1014,68507,18
1015,68799,18
1016,68883,18
1017,68894,18
1018,68913,18
1019,68981,18
1020,69046,18
1021,69310,18
1022,69586,18
1023,69957,18
1024,70057,18
1025,70916,18
1026,72074,18
1027,72222,18
1028,72445,18
1029,72502,18
1030,72507,18
1031,72681,18
1032,72865,18
1033,72896,18
1034,73652,18
1035,73673,18
1036,73749,18
1037,73751,18
1038,73752,18
1039,73873,18
1040,73884,18
1041,74095,18
1042,74263,18
1043,74266,18
1044,74268,18
1045,74269,18
1046,74274,18
1047,74639,18
1048,74887,18
1049,74888,18
1050,75181,18
1051,75185,18
1052,75188,18
1053,75463,18
1054,75464,18
1055,76131,18
1056,76257,18
1057,76275,18
1058,76349,18
1059,76521,18
1060,76544,18
1061,76758,18
1062,77093,18
1063,78022,18
1064,78031,18
1065,78033,18
1066,78128,18
1067,78166,18
1068,78172,18
1069,78385,18
1070,79434,18
1071,79992,18
1072,81128,18
1073,81344,18
1074,81752,18
1075,82161,18
1076,82952,18
1077,83016,18
1078,83277,18
1079,83706,18
1080,83721,18
1081,83914,18
1082,84700,18
1083,84703,18
1084,84819,18
1085,85020,18
1086,85508,18
1087,85878,18
1088,86425,18
1089,87036,18
1090,87953,18
1091,88048,18
1092,88806,18
1093,90003,18
1094,90548,18
1095,90567,18
1096,90965,18
1097,91186,18
1098,91919,18
1099,92679,18
1100,92990,18
1101,93412,18
1102,93898,18
1103,94406,18
1104,94676,18
1105,95728,18
1106,95919,18
1107,96480,18
1108,96990,18
1109,97520,18
1110,98174,18
1111,101569,18
1112,102263,18
1113,102869,18
1114,103535,18
1115,103847,18
1116,104171,18
1117,104240,18
1118,104509,18
1119,104566,18
1120,104961,18
1121,105825,18
1122,105903,18
1123,106373,18
1124,106651,18
1125,106654,18
1126,107242,18
1127,107485,18
1128,107682,18
1129,107843,18
1130,107897,18
1131,107903,18
1132,107905,18
1133,107906,18
1134,107911,18
1135,107912,18
1136,108128,18
1137,108510,18
1138,108954,18
1139,109051,18
1140,109142,18
1141,109530,18
1142,110410,18
1143,111145,18
1144,112025,18
1145,112435,18
1146,112437,18
1147,112587,18
1148,112929,18
1149,114464,18
1150,114739,18
1151,114983,18
1152,115738,18
1153,115960,18
1154,116154,18
1155,117711,18
1156,118202,18
1157,118211,18
1158,118376,18
1159,118379,18
1160,118416,18
1161,118613,18
1162,118865,18
1163,118984,18
1164,119174,18
1165,120880,18
1166,121154,18
1167,121602,18
1168,121795,18
1169,121823,18
1170,122611,18
1171,122765,18
1172,122973,18
1173,124471,18
1174,124670,18
1175,127329,18
1176,127583,18
1177,127987,18
1178,128842,18
1179,129070,18
1180,130473,18
1181,130922,18
1182,131069,18
1183,131148,18
1184,131859,18
1185,133578,18
1186,134770,18
1187,136303,18
1188,136701,18
1189,136942,18
1190,136943,18
1191,137386,18
1192,137916,18
1193,139329,18
1194,140985,18
1195,141469,18
1196,143479,18
1197,143865,18
1198,146368,18
1199,147423,18
1200,147498,18
1201,148667,18
1202,149961,18
1203,152201,18
1204,153145,18
1205,153270,18
1206,153847,18
1207,154304,18
1208,154989,18
1209,155888,18
1210,156076,18
1211,156077,18
1212,156120,18
1213,156643,18
1214,157229,18
1215,157239,18
1216,157243,18
1217,158251,18
1218,159185,18
1219,159818,18
1220,159862,18
1221,160971,18
1222,161285,18
1223,161295,18
1224,161351,18
1225,162455,18
1226,164755,18
1227,165954,18
1228,167449,18
1229,169499,18
1230,171400,18
1231,172239,18
1232,172642,18
1233,172698,18
1234,172752,18
1235,172766,18
1236,172773,18
1237,172940,18
1238,172947,18
1239,173255,18
1240,174127,18
1241,175348,18
1242,175821,18
1243,176217,18
1244,176325,18
1245,176654,18
1246,176665,18
1247,176875,18
1248,177396,18
1249,178674,18
1250,181308,18
1251,181633,18
1252,181735,18
1253,182127,18
1254,182227,18
1255,182335,18
1256,183849,18
1257,186346,18
1258,186703,18
1259,186882,18
1260,186890,18
1261,186907,18
1262,186940,18
1263,187022,18
1264,187046,18
1265,187050,18
1266,187052,18
1267,187172,18
1268,187369,18
1269,187378,18
1270,187382,18
1271,187387,18
1272,187403,18
1273,187419,18
1274,187422,18
1275,187433,18
1276,187464,18
1277,187466,18
1278,187473,18
1279,187496,18
1280,187500,18
1281,187689,18
1282,187692,18
1283,187760,18
1284,190527,18
1285,191463,18
1286,191504,18
1287,192933,18
1288,193551,18
1289,194523,18
1290,194646,18
1291,195748,18
1292,196325,18
1293,196420,18
1294,199296,18
1295,199542,18
1296,201531,18
1297,202179,18
1298,202514,18
1299,203476,18
1300,203530,18
1301,203598,18
1302,203996,18
1303,204315,18
1304,204932,18
1305,205464,18
1306,206047,18
1307,206260,18
1308,206452,18
1309,206592,18
1310,206600,18
1311,206605,18
1312,206624,18
1313,206796,18
1314,207052,18
1315,207340,18
1316,210778,18
1317,210911,18
1318,211207,18
1319,211425,18
1320,211513,18
1321,211866,18
1322,212240,18
1323,212372,18
1324,212375,18
1325,212992,18
1326,212995,18
1327,212996,18
1328,213001,18
1329,213015,18
1330,213169,18
1331,213478,18
1332,213608,18
1333,213646,18
1334,214989,18
1335,216008,18
1336,218801,18
1337,219187,18
1338,219572,18
1339,220585,18
1340,220887,18
1341,221014,18
1342,221077,18
1343,222216,18
1344,222303,18
1345,223596,18
1346,224129,18
1347,225877,18
1348,230152,18
1349,230236,18
1350,230839,18
1351,231743,18
1352,231995,18
1353,232569,18
1354,232595,18
1355,232644,18
1356,233112,18
1357,233308,18
1358,236329,18
1359,237696,18
1360,240089,18
1361,240106,18
1362,240874,18
1363,241375,18
1364,241761,18
1365,242612,18
1366,243439,18
1367,243495,18
1368,243919,18
1369,244188,18
1370,244971,18
1371,245592,18
1372,247954,18
1373,248212,18
1374,250049,18
1375,251531,18
1376,252220,18
1377,252319,18
1378,253450,18
1379,253642,18
1380,253848,18
1381,254003,18
1382,254580,18
1383,254765,18
1384,255218,18
1385,255302,18
1386,255756,18
1387,255768,18
1388,255779,18
1389,255782,18
1390,255786,18
1391,255803,18
1392,255817,18
1393,255825,18
1394,255856,18
1395,255858,18
1396,255860,18
1397,255863,18
1398,255866,18
1399,255951,18
1400,255963,18
1401,255976,18
1402,256077,18
1403,256082,18
1404,256083,18
1405,256086,18
1406,256096,18
1407,256106,18
1408,256807,18
1409,257642,18
1410,258334,18
1411,259079,18
1412,259565,18
1413,259943,18
1414,260334,18
1415,261128,18
1416,261149,18
1417,261152,18
1418,261168,18
1419,261183,18
1420,261292,18
1421,261293,18
1422,261478,18
1423,261487,18
1424,261499,18
1425,263341,18
1426,264264,18
1427,264539,18
1428,265310,18
1429,265710,18
1430,267971,18
1431,268288,18
1432,269731,18
1433,269732,18
1434,271220,18
1435,271291,18
1436,271537,18
1437,271614,18
1438,272131,18
1439,273197,18
1440,275625,18
1441,275663,18
1442,276090,18
1443,277026,18
1444,277718,18
1445,280591,18
1446,280928,18
1447,281087,18
1448,282469,18
1449,283427,18
1450,283913,18
1451,284278,18
1452,284552,18
1453,286089,18
1454,286217,18
1455,287022,18
1456,287024,18
1457,287026,18
1458,287222,18
1459,287324,18
1460,287888,18
1461,288788,18
1462,289930,18
1463,291094,18
1464,291446,18
1465,293071,18
1466,293236,18
1467,293240,18
1468,293246,18
1469,293289,18
1470,293294,18
1471,293300,18
1472,293885,18
1473,294991,18
1474,294993,18
1475,295013,18
1476,295273,18
1477,295907,18
1478,297747,18
1479,298203,18
1480,298307,18
1481,298458,18
1482,299041,18
1483,300168,18
1484,303047,18
1485,303121,18
1486,303492,18
1487,303501,18
1488,307154,18
1489,308703,18
1490,308706,18
1491,308924,18
1492,308925,18
1493,308927,18
1494,308938,18
1495,309769,18
1496,309795,18
1497,310356,18
1498,311179,18
1499,311811,18
1500,312729,18
1501,312914,18
1502,313097,18
1503,313100,18
1504,313101,18
1505,313183,18
1506,313616,18
1507,314388,18
1508,314866,18
1509,315010,18
1510,315669,18
1511,316783,18
1512,316860,18
1513,317176,18
1514,318382,18
1515,318385,18
1516,318644,18
1517,320132,18
1518,321954,18
1519,322160,18
1520,323260,18
1521,323430,18
1522,323972,18
1523,325649,18
1524,329206,18
1525,329687,18
1526,330733,18
1527,331576,18
1528,331931,18
1529,332922,18
1530,332980,18
1531,334132,18
1532,336419,18
1533,336441,18
1534,337219,18
1535,340603,18
1536,341230,18
1537,341397,18
1538,341564,18
1539,343140,18
1540,344556,18
1541,344938,18
1542,345674,18
1543,345725,18
1544,348595,18
1545,348719,18
1546,350853,18
1547,351493,18
1548,354072,18
1549,355057,18
1550,355381,18
1551,355421,18
1552,355433,18
1553,355604,18
1554,355935,18
1555,355988,18
1556,355996,18
1557,356006,18
1558,356050,18
1559,356103,18
1560,356139,18
1561,356784,18
1562,357940,18
1563,358304,18
1564,359879,18
1565,360227,18
1566,360731,18
1567,361485,18
1568,362791,18
1569,364042,18
1570,364329,18
1571,364408,18
1572,364411,18
1573,365222,18
1574,366091,18
1575,366313,18
1576,367196,18
1577,367210,18
1578,368915,18
1579,369124,18
1580,369486,18
1581,369538,18
1582,369562,18
1583,369575,18
1584,370723,18
1585,372745,18
1586,372986,18
1587,372988,18
1588,372989,18
1589,372990,18
1590,373200,18
1591,374566,18
1592,374640,18
1593,375447,18
1594,376277,18
1595,376549,18
1596,377116,18
1597,377232,18
1598,378065,18
1599,378462,18
1600,378913,18
1601,380007,18
1602,380762,18
1603,381552,18
1604,382572,18
1605,382635,18
1606,384337,18
1607,384758,18
1608,384766,18
1609,385748,18
1610,386235,18
1611,386352,18
1612,386528,18
1613,386535,18
1614,387476,18
1615,387480,18
1616,387505,18
1617,387544,18
1618,387578,18
1619,387686,18
1620,387749,18
1621,387755,18
1622,387934,18
1623,387937,18
1624,388403,18
1625,388423,18
1626,388496,18
1627,388506,18
1628,389495,18
1629,390998,18
1630,391477,18
1631,394051,18
1632,394856,18
1633,395694,18
1634,396192,18
1635,396520,18
1636,397363,18
1637,398551,18
1638,399295,18
1639,399566,18
1640,400069,18
1641,400311,18
1642,400385,18
1643,400604,18
1644,401457,18
1645,401666,18
1646,401670,18
1647,401706,18
1648,401786,18
1649,401788,18
1650,401796,18
1651,401798,18
1652,401926,18
1653,401929,18
1654,401934,18
1655,402057,18
1656,402059,18
1657,402213,18
1658,402548,18
1659,402611,18
1660,402626,18
1661,402826,18
1662,402832,18
1663,402842,18
1664,403021,18
1665,403022,18
1666,403023,18
1667,403032,18
1668,403114,18
1669,403151,18
1670,403156,18
1671,403427,18
1672,403741,18
1673,403781,18
1674,403907,18
1675,404272,18
1676,404304,18
1677,404336,18
1678,404369,18
1679,404371,18
1680,404526,18
1681,404904,18
1682,405597,18
1683,405610,18
1684,406898,18
1685,407039,18
1686,407400,18
1687,407408,18
1688,407409,18
1689,407412,18
1690,407462,18
1691,407637,18
1692,407664,18
1693,407781,18
1694,407795,18
1695,407805,18
1696,407810,18
1697,408210,18
1698,408430,18
1699,409478,18
1700,410578,18
1701,410897,18
1702,410979,18
1703,411005,18
1704,411052,18
1705,411268,18
1706,411432,18
1707,411434,18
1708,411438,18
1709,411443,18
1710,411603,18
1711,411815,18
1712,411817,18
1713,412052,18
1714,412405,18
1715,412891,18
1716,412986,18
1717,413197,18
1718,413745,18
1719,413838,18
1720,414216,18
1721,415481,18
1722,415776,18
1723,416240,18
1724,416249,18
1725,418032,18
1726,419242,18
1727,420644,18
1728,420991,18
1729,421834,18
1730,422239,18
1731,422436,18
1732,422653,18
1733,422657,18
1734,422785,18
1735,423116,18
1736,423125,18
1737,423701,18
1738,423879,18
1739,425009,18
1740,425258,18
1741,425743,18
1742,425848,18
1743,425852,18
1744,425985,18
1745,426108,18
1746,426234,18
1747,427276,18
1748,427286,18
1749,427299,18
1750,427358,18
1751,427744,18
1752,427882,18
1753,427963,18
1754,427972,18
1755,429592,18
1756,430769,18
1757,431579,18
1758,432532,18
1759,432881,18
1760,433395,18
1761,433563,18
1762,434221,18
1763,435444,18
1764,435621,18
1765,436774,18
1766,437216,18
1767,437263,18
1768,437266,18
1769,437814,18
1770,438063,18
1771,438081,18
1772,438277,18
1773,438279,18
1774,438857,18
1775,438934,18
1776,438963,18
1777,439153,18
1778,439323,18
1779,440062,18
1780,440093,18
1781,440211,18
1782,440895,18
1783,440904,18
1784,440926,18
1785,441075,18
1786,441391,18
1787,441393,18
1788,441487,18
1789,441531,18
1790,441543,18
1791,442015,18
1792,442020,18
1793,442061,18
1794,442116,18
1795,442158,18
1796,442165,18
1797,442686,18
1798,442690,18
1799,443211,18
1800,444138,18
1801,444185,18
1802,444191,18
1803,444402,18
1804,444973,18
1805,445071,18
1806,445940,18
1807,445942,18
1808,446533,18
1809,447344,18
1810,447535,18
1811,447729,18
1812,448603,18
1813,448766,18
1814,448968,18
1815,449038,18
1816,449096,18
1817,449505,18
1818,449578,18
1819,449698,18
1820,449950,18
1821,450544,18
1822,450616,18
1823,450692,18
1824,450697,18
1825,451122,18
1826,451464,18
1827,451466,18
1828,451489,18
1829,451498,18
1830,451660,18
1831,451675,18
1832,451774,18
1833,451944,18
1834,452400,18
1835,452551,18
1836,452558,18
1837,452767,18
1838,452842,18
1839,453658,18
1840,453660,18
1841,453662,18
1842,453667,18
1843,453769,18
1844,453774,18
1845,453777,18
1846,453785,18
1847,453789,18
1848,453969,18
1849,454016,18
1850,455231,18
1851,455392,18
1852,455578,18
1853,456797,18
1854,458056,18
1855,458165,18
1856,458194,18
1857,458299,18
1858,458475,18
1859,458476,18
1860,459318,18
1861,459489,18
1862,459669,18
1863,460003,18
1864,460079,18
1865,460080,18
1866,461324,18
1867,461357,18
1868,461578,18
1869,461760,18
1870,461907,18
1871,462211,18
1872,462215,18
1873,462259,18
1874,462763,18
